mwmon primitives:
SYNC_PERIOD= 5
 Work time: tics: 10761389548.000000 , time=: 3.843051 seconds
 Work time: tics: 9504314785.000000 , time=: 3.394131 seconds
 Work time: tics: 10522041341.000000 , time=: 3.757577 seconds
 Work time: tics: 10144327361.000000 , time=: 3.622689 seconds
 Work time: tics: 10529508885.000000 , time=: 3.760243 seconds
 Work time: tics: 9221878414.000000 , time=: 3.293269 seconds
 Work time: tics: 10695818021.000000 , time=: 3.819635 seconds
 Work time: tics: 9819254417.000000 , time=: 3.506601 seconds
 Work time: tics: 9639506030.000000 , time=: 3.442410 seconds
 Work time: tics: 8445475269.000000 , time=: 3.016004 seconds
 Work time: tics: 8922391604.000000 , time=: 3.186318 seconds
 Work time: tics: 8839404672.000000 , time=: 3.156682 seconds
 Work time: tics: 9350778570.000000 , time=: 3.339301 seconds
 Work time: tics: 9233023590.000000 , time=: 3.297249 seconds
 Work time: tics: 9879723952.000000 , time=: 3.528196 seconds
 Work time: tics: 9576795690.000000 , time=: 3.420015 seconds
 Work time: tics: 8523965051.000000 , time=: 3.044034 seconds
 Work time: tics: 8977589460.000000 , time=: 3.206030 seconds
 Work time: tics: 9009315084.000000 , time=: 3.217360 seconds
 Work time: tics: 9542416345.000000 , time=: 3.407738 seconds
 Work time: tics: 9060808722.000000 , time=: 3.235749 seconds
 Work time: tics: 9858343320.000000 , time=: 3.520560 seconds
 Work time: tics: 9379715408.000000 , time=: 3.349635 seconds
 Work time: tics: 9687732838.000000 , time=: 3.459633 seconds
 Work time: tics: 10065369461.000000 , time=: 3.594492 seconds
 Work time: tics: 10074618778.000000 , time=: 3.597795 seconds
 Work time: tics: 9234989708.000000 , time=: 3.297951 seconds
 Work time: tics: 10437003689.000000 , time=: 3.727208 seconds
 Work time: tics: 8766489354.000000 , time=: 3.130643 seconds
 Work time: tics: 9229371907.000000 , time=: 3.295945 seconds
 Work time: tics: 10421082056.000000 , time=: 3.721523 seconds
 Work time: tics: 10361247113.000000 , time=: 3.700155 seconds
 Work time: tics: 9322273891.000000 , time=: 3.329122 seconds
 Work time: tics: 9756872734.000000 , time=: 3.484324 seconds
 Work time: tics: 9845558240.000000 , time=: 3.515995 seconds
 Work time: tics: 8368726464.000000 , time=: 2.988596 seconds
 Work time: tics: 9193828000.000000 , time=: 3.283252 seconds
 Work time: tics: 10543453767.000000 , time=: 3.765223 seconds
 Work time: tics: 10643303692.000000 , time=: 3.800881 seconds
 Work time: tics: 9866357998.000000 , time=: 3.523422 seconds


SYNC_PERIOD= 10
 Work time: tics: 9365167945.000000 , time=: 3.344440 seconds
 Work time: tics: 8156787814.000000 , time=: 2.912910 seconds
 Work time: tics: 8944136131.000000 , time=: 3.194083 seconds
 Work time: tics: 9665986008.000000 , time=: 3.451867 seconds
 Work time: tics: 9624200222.000000 , time=: 3.436944 seconds
 Work time: tics: 9782797514.000000 , time=: 3.493582 seconds
 Work time: tics: 10100136221.000000 , time=: 3.606908 seconds
 Work time: tics: 9287775147.000000 , time=: 3.316802 seconds
 Work time: tics: 10166936199.000000 , time=: 3.630763 seconds
 Work time: tics: 9609605558.000000 , time=: 3.431732 seconds
 Work time: tics: 8861144796.000000 , time=: 3.164446 seconds
 Work time: tics: 10984822765.000000 , time=: 3.922843 seconds
 Work time: tics: 8948164736.000000 , time=: 3.195522 seconds
 Work time: tics: 11114868695.000000 , time=: 3.969284 seconds
 Work time: tics: 8940018871.000000 , time=: 3.192613 seconds
 Work time: tics: 9768389547.000000 , time=: 3.488436 seconds
 Work time: tics: 11633398266.000000 , time=: 4.154459 seconds
 Work time: tics: 10222241554.000000 , time=: 3.650514 seconds
 Work time: tics: 8604931174.000000 , time=: 3.072948 seconds
 Work time: tics: 9512297662.000000 , time=: 3.396982 seconds
 Work time: tics: 9215302089.000000 , time=: 3.290921 seconds
 Work time: tics: 9454892685.000000 , time=: 3.376482 seconds
 Work time: tics: 9487163805.000000 , time=: 3.388007 seconds
 Work time: tics: 9971635366.000000 , time=: 3.561019 seconds
 Work time: tics: 10357855571.000000 , time=: 3.698944 seconds
 Work time: tics: 8661654988.000000 , time=: 3.093205 seconds
 Work time: tics: 8931956397.000000 , time=: 3.189734 seconds
 Work time: tics: 9212190547.000000 , time=: 3.289810 seconds
 Work time: tics: 9755182570.000000 , time=: 3.483720 seconds
 Work time: tics: 9839146618.000000 , time=: 3.513705 seconds
 Work time: tics: 9307546521.000000 , time=: 3.323863 seconds
 Work time: tics: 10009010501.000000 , time=: 3.574366 seconds
 Work time: tics: 8944528712.000000 , time=: 3.194224 seconds
 Work time: tics: 9628054198.000000 , time=: 3.438321 seconds
 Work time: tics: 9863778281.000000 , time=: 3.522501 seconds
 Work time: tics: 10840640958.000000 , time=: 3.871353 seconds
 Work time: tics: 9939982346.000000 , time=: 3.549715 seconds
 Work time: tics: 10022704328.000000 , time=: 3.579256 seconds
 Work time: tics: 10450580035.000000 , time=: 3.732057 seconds
 Work time: tics: 9036284383.000000 , time=: 3.226991 seconds


SYNC_PERIOD= 15
 Work time: tics: 9607478706.000000 , time=: 3.430973 seconds
 Work time: tics: 9635561530.000000 , time=: 3.441002 seconds
 Work time: tics: 7801116610.000000 , time=: 2.785894 seconds
 Work time: tics: 9960683670.000000 , time=: 3.557108 seconds
 Work time: tics: 9832987500.000000 , time=: 3.511505 seconds
 Work time: tics: 9240641795.000000 , time=: 3.299970 seconds
 Work time: tics: 9700202736.000000 , time=: 3.464086 seconds
 Work time: tics: 9611739970.000000 , time=: 3.432495 seconds
 Work time: tics: 10404579710.000000 , time=: 3.715629 seconds
 Work time: tics: 9405469619.000000 , time=: 3.358832 seconds
 Work time: tics: 9358735561.000000 , time=: 3.342143 seconds
 Work time: tics: 10795545971.000000 , time=: 3.855249 seconds
 Work time: tics: 10081610910.000000 , time=: 3.600292 seconds
 Work time: tics: 9792331248.000000 , time=: 3.496986 seconds
 Work time: tics: 9478220101.000000 , time=: 3.384813 seconds
 Work time: tics: 9177758499.000000 , time=: 3.277513 seconds
 Work time: tics: 9984843785.000000 , time=: 3.565735 seconds
 Work time: tics: 10508917188.000000 , time=: 3.752890 seconds
 Work time: tics: 9277734186.000000 , time=: 3.313216 seconds
 Work time: tics: 10203021465.000000 , time=: 3.643650 seconds
 Work time: tics: 9728969320.000000 , time=: 3.474359 seconds
 Work time: tics: 9306989139.000000 , time=: 3.323664 seconds
 Work time: tics: 10396784370.000000 , time=: 3.712846 seconds
 Work time: tics: 10043450879.000000 , time=: 3.586665 seconds
 Work time: tics: 9807832349.000000 , time=: 3.502522 seconds
