pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 10166194689.000000 , time=: 3.630499 seconds
 Work time: tics: 9501291205.000000 , time=: 3.393052 seconds
 Work time: tics: 8597407049.000000 , time=: 3.070261 seconds
 Work time: tics: 10363073329.000000 , time=: 3.700807 seconds
 Work time: tics: 9396668911.000000 , time=: 3.355690 seconds
 Work time: tics: 9540550586.000000 , time=: 3.407072 seconds
 Work time: tics: 9347151576.000000 , time=: 3.338006 seconds
 Work time: tics: 9526712909.000000 , time=: 3.402130 seconds
 Work time: tics: 9224378135.000000 , time=: 3.294162 seconds
 Work time: tics: 9321978232.000000 , time=: 3.329016 seconds
 Work time: tics: 8989005592.000000 , time=: 3.210107 seconds
 Work time: tics: 10094558306.000000 , time=: 3.604916 seconds
 Work time: tics: 9840844580.000000 , time=: 3.514311 seconds
 Work time: tics: 10940129935.000000 , time=: 3.906882 seconds
 Work time: tics: 9929608367.000000 , time=: 3.546010 seconds
 Work time: tics: 10523966502.000000 , time=: 3.758264 seconds
 Work time: tics: 9876387689.000000 , time=: 3.527004 seconds
 Work time: tics: 9781545662.000000 , time=: 3.493135 seconds
 Work time: tics: 10446037350.000000 , time=: 3.730435 seconds
 Work time: tics: 10390895529.000000 , time=: 3.710743 seconds
 Work time: tics: 9448867617.000000 , time=: 3.374330 seconds
 Work time: tics: 9305959936.000000 , time=: 3.323296 seconds
 Work time: tics: 8038996189.000000 , time=: 2.870845 seconds
 Work time: tics: 10297681912.000000 , time=: 3.677455 seconds
 Work time: tics: 8407422583.000000 , time=: 3.002415 seconds
 Work time: tics: 9541239204.000000 , time=: 3.407318 seconds
 Work time: tics: 9200946951.000000 , time=: 3.285794 seconds
 Work time: tics: 9087006530.000000 , time=: 3.245105 seconds
 Work time: tics: 10353435743.000000 , time=: 3.697365 seconds
 Work time: tics: 9698432807.000000 , time=: 3.463454 seconds
 Work time: tics: 10497270735.000000 , time=: 3.748731 seconds
 Work time: tics: 10479234178.000000 , time=: 3.742290 seconds
 Work time: tics: 10327027137.000000 , time=: 3.687934 seconds
 Work time: tics: 11533183410.000000 , time=: 4.118670 seconds
 Work time: tics: 10012779861.000000 , time=: 3.575712 seconds
