spinhalt primitives:
SYNC_PERIOD= 5
 Work time: tics: 9561620236.000000 , time=: 3.414596 seconds
 Work time: tics: 8016505245.000000 , time=: 2.862813 seconds
 Work time: tics: 9499246036.000000 , time=: 3.392321 seconds
 Work time: tics: 9940313691.000000 , time=: 3.549833 seconds
 Work time: tics: 10064793760.000000 , time=: 3.594287 seconds
 Work time: tics: 9168382090.000000 , time=: 3.274165 seconds
 Work time: tics: 11159614627.000000 , time=: 3.985264 seconds
 Work time: tics: 9954690732.000000 , time=: 3.554967 seconds
 Work time: tics: 8562998199.000000 , time=: 3.057973 seconds
 Work time: tics: 9637286995.000000 , time=: 3.441618 seconds
 Work time: tics: 7901415991.000000 , time=: 2.821713 seconds
 Work time: tics: 9842991956.000000 , time=: 3.515078 seconds
 Work time: tics: 9848675312.000000 , time=: 3.517108 seconds
 Work time: tics: 10026854117.000000 , time=: 3.580738 seconds
 Work time: tics: 9855320580.000000 , time=: 3.519481 seconds
 Work time: tics: 10129806806.000000 , time=: 3.617504 seconds
 Work time: tics: 9894445281.000000 , time=: 3.533453 seconds
 Work time: tics: 9886418514.000000 , time=: 3.530586 seconds
 Work time: tics: 8956633665.000000 , time=: 3.198546 seconds
 Work time: tics: 9819492711.000000 , time=: 3.506686 seconds
 Work time: tics: 10378620735.000000 , time=: 3.706359 seconds
 Work time: tics: 11056831303.000000 , time=: 3.948558 seconds
 Work time: tics: 9701630960.000000 , time=: 3.464596 seconds
 Work time: tics: 9950122742.000000 , time=: 3.553336 seconds
 Work time: tics: 10246082805.000000 , time=: 3.659028 seconds
 Work time: tics: 9567245660.000000 , time=: 3.416605 seconds
 Work time: tics: 11165965979.000000 , time=: 3.987532 seconds
 Work time: tics: 8968532818.000000 , time=: 3.202796 seconds
 Work time: tics: 8528642241.000000 , time=: 3.045704 seconds
 Work time: tics: 9335035822.000000 , time=: 3.333679 seconds
 Work time: tics: 11226615736.000000 , time=: 4.009191 seconds
 Work time: tics: 8144821342.000000 , time=: 2.908636 seconds
 Work time: tics: 9363046105.000000 , time=: 3.343682 seconds
 Work time: tics: 9815329230.000000 , time=: 3.505199 seconds
 Work time: tics: 8350887286.000000 , time=: 2.982225 seconds
 Work time: tics: 9254639065.000000 , time=: 3.304969 seconds
 Work time: tics: 9783834137.000000 , time=: 3.493952 seconds
 Work time: tics: 8244859707.000000 , time=: 2.944361 seconds
 Work time: tics: 10596572735.000000 , time=: 3.784193 seconds
 Work time: tics: 10232511079.000000 , time=: 3.654181 seconds


SYNC_PERIOD= 10
 Work time: tics: 9551612623.000000 , time=: 3.411022 seconds
 Work time: tics: 10774128918.000000 , time=: 3.847601 seconds
 Work time: tics: 8964903199.000000 , time=: 3.201500 seconds
 Work time: tics: 9227066877.000000 , time=: 3.295122 seconds
 Work time: tics: 9699458006.000000 , time=: 3.463820 seconds
 Work time: tics: 9403273488.000000 , time=: 3.358048 seconds
 Work time: tics: 10977979523.000000 , time=: 3.920399 seconds
