spinpause primitives:
SYNC_PERIOD= 5
 Work time: tics: 11518784116.000000 , time=: 4.113528 seconds
 Work time: tics: 11325467496.000000 , time=: 4.044492 seconds
 Work time: tics: 11481256150.000000 , time=: 4.100126 seconds
 Work time: tics: 11986542890.000000 , time=: 4.280572 seconds
 Work time: tics: 11663129121.000000 , time=: 4.165076 seconds
 Work time: tics: 11393115146.000000 , time=: 4.068650 seconds
 Work time: tics: 11888018044.000000 , time=: 4.245387 seconds
 Work time: tics: 12697689326.000000 , time=: 4.534533 seconds
 Work time: tics: 13432222755.000000 , time=: 4.796846 seconds
 Work time: tics: 11185372170.000000 , time=: 3.994462 seconds
 Work time: tics: 10829809193.000000 , time=: 3.867485 seconds
 Work time: tics: 12320138607.000000 , time=: 4.399704 seconds
 Work time: tics: 12443196010.000000 , time=: 4.443649 seconds
 Work time: tics: 11387855941.000000 , time=: 4.066772 seconds
 Work time: tics: 12294017372.000000 , time=: 4.390376 seconds
 Work time: tics: 12680676260.000000 , time=: 4.528457 seconds
 Work time: tics: 12030071326.000000 , time=: 4.296116 seconds
 Work time: tics: 12162168494.000000 , time=: 4.343290 seconds
 Work time: tics: 12310695061.000000 , time=: 4.396331 seconds
 Work time: tics: 12101325215.000000 , time=: 4.321562 seconds
 Work time: tics: 12931539012.000000 , time=: 4.618044 seconds
 Work time: tics: 11850019797.000000 , time=: 4.231817 seconds
 Work time: tics: 12110245693.000000 , time=: 4.324748 seconds
 Work time: tics: 12569810911.000000 , time=: 4.488865 seconds
 Work time: tics: 12793260382.000000 , time=: 4.568663 seconds
 Work time: tics: 12775838180.000000 , time=: 4.562441 seconds
 Work time: tics: 11475751182.000000 , time=: 4.098161 seconds
 Work time: tics: 11574336410.000000 , time=: 4.133367 seconds
 Work time: tics: 11888669023.000000 , time=: 4.245620 seconds
 Work time: tics: 12581781989.000000 , time=: 4.493141 seconds
 Work time: tics: 12027463567.000000 , time=: 4.295185 seconds
 Work time: tics: 12054791259.000000 , time=: 4.304944 seconds
 Work time: tics: 12375968661.000000 , time=: 4.419642 seconds
 Work time: tics: 11793656378.000000 , time=: 4.211689 seconds
 Work time: tics: 12022695223.000000 , time=: 4.293482 seconds
 Work time: tics: 11493380066.000000 , time=: 4.104456 seconds
 Work time: tics: 13679277388.000000 , time=: 4.885072 seconds
 Work time: tics: 12522613957.000000 , time=: 4.472011 seconds
 Work time: tics: 9907037273.000000 , time=: 3.537950 seconds
 Work time: tics: 11731815949.000000 , time=: 4.189605 seconds


SYNC_PERIOD= 10
 Work time: tics: 12549533150.000000 , time=: 4.481624 seconds
 Work time: tics: 11297894748.000000 , time=: 4.034645 seconds
 Work time: tics: 10393210884.000000 , time=: 3.711569 seconds
 Work time: tics: 11897851245.000000 , time=: 4.248899 seconds
 Work time: tics: 13002768030.000000 , time=: 4.643481 seconds
 Work time: tics: 12203493127.000000 , time=: 4.358048 seconds
 Work time: tics: 12936539112.000000 , time=: 4.619830 seconds
 Work time: tics: 12323312715.000000 , time=: 4.400837 seconds
 Work time: tics: 12002425666.000000 , time=: 4.286244 seconds
 Work time: tics: 12170790534.000000 , time=: 4.346369 seconds
 Work time: tics: 11681303837.000000 , time=: 4.171566 seconds
 Work time: tics: 13147839068.000000 , time=: 4.695288 seconds
 Work time: tics: 12511408644.000000 , time=: 4.468009 seconds
 Work time: tics: 12613535571.000000 , time=: 4.504480 seconds
 Work time: tics: 13649637302.000000 , time=: 4.874487 seconds
 Work time: tics: 12270472438.000000 , time=: 4.381967 seconds
 Work time: tics: 13215518484.000000 , time=: 4.719457 seconds
 Work time: tics: 11490880233.000000 , time=: 4.103563 seconds
 Work time: tics: 12026474915.000000 , time=: 4.294832 seconds
 Work time: tics: 12058589585.000000 , time=: 4.306301 seconds
 Work time: tics: 11220431880.000000 , time=: 4.006982 seconds
 Work time: tics: 12474212114.000000 , time=: 4.454726 seconds
 Work time: tics: 11762366896.000000 , time=: 4.200515 seconds
 Work time: tics: 11760452011.000000 , time=: 4.199831 seconds
 Work time: tics: 13160494053.000000 , time=: 4.699807 seconds
 Work time: tics: 11080961843.000000 , time=: 3.957175 seconds
 Work time: tics: 11807773530.000000 , time=: 4.216731 seconds
 Work time: tics: 11310124021.000000 , time=: 4.039013 seconds
 Work time: tics: 12097194788.000000 , time=: 4.320087 seconds
 Work time: tics: 11313510103.000000 , time=: 4.040222 seconds
 Work time: tics: 11768886255.000000 , time=: 4.202843 seconds
 Work time: tics: 11701255580.000000 , time=: 4.178692 seconds
 Work time: tics: 12359470970.000000 , time=: 4.413750 seconds
 Work time: tics: 11720576938.000000 , time=: 4.185591 seconds
 Work time: tics: 12680873751.000000 , time=: 4.528528 seconds
 Work time: tics: 12046071569.000000 , time=: 4.301830 seconds
 Work time: tics: 12489567706.000000 , time=: 4.460209 seconds
 Work time: tics: 10946799416.000000 , time=: 3.909264 seconds
 Work time: tics: 12211738084.000000 , time=: 4.360992 seconds
 Work time: tics: 10824120398.000000 , time=: 3.865454 seconds


SYNC_PERIOD= 15
 Work time: tics: 11517351496.000000 , time=: 4.113017 seconds
 Work time: tics: 12848193722.000000 , time=: 4.588280 seconds
 Work time: tics: 11664264864.000000 , time=: 4.165482 seconds
 Work time: tics: 11757171755.000000 , time=: 4.198660 seconds
 Work time: tics: 11547686633.000000 , time=: 4.123850 seconds
 Work time: tics: 11629054059.000000 , time=: 4.152907 seconds
 Work time: tics: 12747831145.000000 , time=: 4.552439 seconds
 Work time: tics: 11380382916.000000 , time=: 4.064103 seconds
 Work time: tics: 12648401136.000000 , time=: 4.516931 seconds
 Work time: tics: 11061963185.000000 , time=: 3.950391 seconds
 Work time: tics: 12705090377.000000 , time=: 4.537176 seconds
 Work time: tics: 12506883921.000000 , time=: 4.466393 seconds
 Work time: tics: 13229022520.000000 , time=: 4.724280 seconds
 Work time: tics: 12050287417.000000 , time=: 4.303336 seconds
 Work time: tics: 11739766724.000000 , time=: 4.192444 seconds
 Work time: tics: 12512139388.000000 , time=: 4.468270 seconds
 Work time: tics: 12172938911.000000 , time=: 4.347137 seconds
 Work time: tics: 12297757591.000000 , time=: 4.391711 seconds
 Work time: tics: 12272310169.000000 , time=: 4.382624 seconds
 Work time: tics: 12094406485.000000 , time=: 4.319092 seconds
 Work time: tics: 11732705432.000000 , time=: 4.189923 seconds
 Work time: tics: 11841665262.000000 , time=: 4.228834 seconds
 Work time: tics: 12471293814.000000 , time=: 4.453684 seconds
 Work time: tics: 12390763364.000000 , time=: 4.424925 seconds
 Work time: tics: 10581523484.000000 , time=: 3.778819 seconds
 Work time: tics: 11622719717.000000 , time=: 4.150645 seconds
 Work time: tics: 12566570520.000000 , time=: 4.487708 seconds
 Work time: tics: 12473368929.000000 , time=: 4.454425 seconds
 Work time: tics: 11644437763.000000 , time=: 4.158401 seconds
 Work time: tics: 10564003660.000000 , time=: 3.772562 seconds
 Work time: tics: 12841521427.000000 , time=: 4.585897 seconds
 Work time: tics: 12016802756.000000 , time=: 4.291378 seconds
 Work time: tics: 12741564192.000000 , time=: 4.550201 seconds
 Work time: tics: 11561538366.000000 , time=: 4.128796 seconds
 Work time: tics: 14170811725.000000 , time=: 5.060607 seconds
 Work time: tics: 12758067700.000000 , time=: 4.556095 seconds
 Work time: tics: 12851829613.000000 , time=: 4.589579 seconds
 Work time: tics: 10928721062.000000 , time=: 3.902808 seconds
 Work time: tics: 12639160107.000000 , time=: 4.513631 seconds
 Work time: tics: 11517703022.000000 , time=: 4.113142 seconds


SYNC_PERIOD= 20
 Work time: tics: 10734281138.000000 , time=: 3.833371 seconds
 Work time: tics: 11910517815.000000 , time=: 4.253422 seconds
 Work time: tics: 11963686014.000000 , time=: 4.272409 seconds
 Work time: tics: 11213656132.000000 , time=: 4.004563 seconds
 Work time: tics: 13182275071.000000 , time=: 4.707586 seconds
 Work time: tics: 11748623180.000000 , time=: 4.195607 seconds
 Work time: tics: 10916678486.000000 , time=: 3.898507 seconds
 Work time: tics: 10991927828.000000 , time=: 3.925380 seconds
 Work time: tics: 12815041750.000000 , time=: 4.576441 seconds
 Work time: tics: 11887832040.000000 , time=: 4.245321 seconds
 Work time: tics: 11599934241.000000 , time=: 4.142508 seconds
 Work time: tics: 12140745253.000000 , time=: 4.335640 seconds
 Work time: tics: 12436831547.000000 , time=: 4.441377 seconds
 Work time: tics: 11881774296.000000 , time=: 4.243157 seconds
 Work time: tics: 13069094080.000000 , time=: 4.667167 seconds
 Work time: tics: 12196395897.000000 , time=: 4.355513 seconds
 Work time: tics: 12123494292.000000 , time=: 4.329479 seconds
 Work time: tics: 11543548198.000000 , time=: 4.122372 seconds
 Work time: tics: 12475863708.000000 , time=: 4.455316 seconds
 Work time: tics: 13511064574.000000 , time=: 4.825001 seconds
 Work time: tics: 12183770648.000000 , time=: 4.351005 seconds
 Work time: tics: 12024281073.000000 , time=: 4.294049 seconds
 Work time: tics: 13080502918.000000 , time=: 4.671241 seconds
 Work time: tics: 11588850175.000000 , time=: 4.138550 seconds
 Work time: tics: 12236947772.000000 , time=: 4.369995 seconds
 Work time: tics: 11194626856.000000 , time=: 3.997767 seconds
 Work time: tics: 11351834214.000000 , time=: 4.053908 seconds
 Work time: tics: 10545133109.000000 , time=: 3.765823 seconds
 Work time: tics: 11958635332.000000 , time=: 4.270606 seconds
 Work time: tics: 12261200441.000000 , time=: 4.378656 seconds
 Work time: tics: 11455660440.000000 , time=: 4.090986 seconds
 Work time: tics: 10408536677.000000 , time=: 3.717042 seconds
 Work time: tics: 11908444884.000000 , time=: 4.252682 seconds
 Work time: tics: 12211774757.000000 , time=: 4.361005 seconds
 Work time: tics: 12182137499.000000 , time=: 4.350422 seconds
 Work time: tics: 11124322440.000000 , time=: 3.972660 seconds
 Work time: tics: 12132407497.000000 , time=: 4.332662 seconds
 Work time: tics: 11083559032.000000 , time=: 3.958103 seconds
 Work time: tics: 11870711293.000000 , time=: 4.239207 seconds
 Work time: tics: 13217510544.000000 , time=: 4.720169 seconds


SYNC_PERIOD= 50
 Work time: tics: 10958833732.000000 , time=: 3.913562 seconds
 Work time: tics: 10187540916.000000 , time=: 3.638122 seconds
 Work time: tics: 9886437792.000000 , time=: 3.530593 seconds
 Work time: tics: 11488047221.000000 , time=: 4.102552 seconds
 Work time: tics: 10216185140.000000 , time=: 3.648351 seconds
 Work time: tics: 10470761847.000000 , time=: 3.739264 seconds
 Work time: tics: 12143189982.000000 , time=: 4.336513 seconds
 Work time: tics: 11309431938.000000 , time=: 4.038766 seconds
 Work time: tics: 11471364114.000000 , time=: 4.096594 seconds
 Work time: tics: 11703752718.000000 , time=: 4.179583 seconds
 Work time: tics: 10951590041.000000 , time=: 3.910975 seconds
 Work time: tics: 12864480895.000000 , time=: 4.594096 seconds
 Work time: tics: 12477691989.000000 , time=: 4.455968 seconds
 Work time: tics: 12896988636.000000 , time=: 4.605705 seconds
