mwmon primitives:
SYNC_PERIOD= 500
Work_time: 3.650460     Wakeup_tics: 26244.000000    Call_tics: 5152.000000
Work_time: 3.382622     Wakeup_tics: 25761.000000    Call_tics: 5600.000000
Work_time: 3.570581     Wakeup_tics: 26104.000000    Call_tics: 5348.000000
Work_time: 3.764996     Wakeup_tics: 24886.000000    Call_tics: 5187.000000
Work_time: 3.804164     Wakeup_tics: 29030.000000    Call_tics: 4900.000000
Work_time: 3.591322     Wakeup_tics: 24165.000000    Call_tics: 4487.000000
Work_time: 3.625016     Wakeup_tics: 24487.000000    Call_tics: 4781.000000
Work_time: 3.343031     Wakeup_tics: 24536.000000    Call_tics: 4368.000000
Work_time: 3.223014     Wakeup_tics: 28050.000000    Call_tics: 5117.000000
Work_time: 3.758771     Wakeup_tics: 28036.000000    Call_tics: 5474.000000
Work_time: 3.485855     Wakeup_tics: 27294.000000    Call_tics: 6251.000000
Work_time: 3.263031     Wakeup_tics: 26349.000000    Call_tics: 6006.000000
Work_time: 3.068870     Wakeup_tics: 22807.000000    Call_tics: 5516.000000
Work_time: 3.375664     Wakeup_tics: 24620.000000    Call_tics: 6307.000000
Work_time: 3.422704     Wakeup_tics: 27966.000000    Call_tics: 6286.000000
Work_time: 3.047603     Wakeup_tics: 24452.000000    Call_tics: 6594.000000
Work_time: 3.765354     Wakeup_tics: 24704.000000    Call_tics: 5719.000000
Work_time: 3.755714     Wakeup_tics: 25726.000000    Call_tics: 5243.000000
Work_time: 3.502293     Wakeup_tics: 25691.000000    Call_tics: 5852.000000
Work_time: 3.072331     Wakeup_tics: 24242.000000    Call_tics: 5187.000000
Work_time: 2.822443     Wakeup_tics: 27098.000000    Call_tics: 5859.000000
Work_time: 3.644387     Wakeup_tics: 21883.000000    Call_tics: 4333.000000
Work_time: 3.448050     Wakeup_tics: 20231.000000    Call_tics: 5285.000000
Work_time: 4.028894     Wakeup_tics: 26734.000000    Call_tics: 4928.000000
Work_time: 3.548754     Wakeup_tics: 25208.000000    Call_tics: 6020.000000
Work_time: 3.384806     Wakeup_tics: 23717.000000    Call_tics: 5831.000000
Work_time: 3.438486     Wakeup_tics: 28400.000000    Call_tics: 5446.000000
Work_time: 3.165216     Wakeup_tics: 27245.000000    Call_tics: 4809.000000
