mwmon primitives:
SYNC_PERIOD= 500
3.581480   31718.000000 
3.480485   27896.000000 
3.884126   23010.000000 
3.260632   27938.000000 
3.336722   26349.000000 
3.784255   31326.000000 
3.554100   27385.000000 
3.697469   28533.000000 
3.180357   29968.000000 
3.209009   31333.000000 
3.997896   32306.000000 
3.582644   29016.000000 
3.267462   28302.000000 
3.302904   30276.000000 
3.301528   26125.000000 
2.964865   31046.000000 
3.124214   29975.000000 
3.389458   30178.000000 
3.610935   27203.000000 
3.617079   28197.000000 
3.483815   25320.000000 
3.719385   21316.000000 
2.894942   29884.000000 
3.399841   25460.000000 
3.561170   32789.000000 
3.705516   27399.000000 
3.300072   30864.000000 
3.301817   24060.000000 
3.196477   26783.000000 
3.499566   17921.000000 
3.480085   27945.000000 
3.481397   21554.000000 
3.544696   30185.000000 
3.620074   27378.000000 
3.214882   23556.000000 
3.483479   26328.000000 
3.639895   20280.000000 
3.171956   28169.000000 
3.215957   26461.000000 
3.091649   24781.000000 


pthread primitives:
SYNC_PERIOD= 500
3.486789   100227.000000 
3.584130   112568.000000 
3.485851   107451.000000 
3.046848   116621.000000 
3.464682   113716.000000 
3.795898   95873.000000 
3.701433   113310.000000 
3.817858   104224.000000 
3.717816   107654.000000 
3.280788   115004.000000 
3.296358   122865.000000 
4.033419   109404.000000 
3.657344   122081.000000 
3.640813   115613.000000 
3.180319   101592.000000 
3.744877   113436.000000 
3.791592   109096.000000 
3.657274   110510.000000 
3.336300   105491.000000 
3.594968   119043.000000 
3.282490   120345.000000 
3.839770   118336.000000 
3.684897   111287.000000 
3.553402   111084.000000 
3.466448   110055.000000 
3.908905   103027.000000 
3.028945   110916.000000 
3.546664   116628.000000 
3.363770   103202.000000 
3.083743   117580.000000 
3.252281   105813.000000 
2.909209   115424.000000 
3.319971   105617.000000 
3.572191   106177.000000 
3.352960   126540.000000 
3.582515   110748.000000 
3.179028   109453.000000 
3.633128   111798.000000 
3.420443   113303.000000 
3.740740   106800.000000 


spinpause primitives:
SYNC_PERIOD= 500
4.744826   498.000000 
4.563855   232.000000 
4.597122   218.000000 
4.198964   211.000000 
4.702479   225.000000 
4.497264   218.000000 
4.000176   204.000000 
4.249523   645.000000 
4.025601   183.000000 
4.580439   211.000000 
4.708417   519.000000 
4.693286   211.000000 
3.929625   197.000000 
4.200213   183.000000 
4.389155   610.000000 
4.373995   526.000000 
4.245216   204.000000 
4.274011   190.000000 
4.271475   190.000000 
4.337333   204.000000 
3.975855   225.000000 
4.424007   218.000000 
4.489424   225.000000 
4.298411   211.000000 
4.362628   533.000000 
4.098061   197.000000 
4.101589   218.000000 
4.583147   197.000000 
4.149223   239.000000 
4.418860   554.000000 
4.551488   547.000000 
3.969127   218.000000 
4.040805   1107.000000 
4.439530   211.000000 
4.246044   211.000000 
4.423904   204.000000 
4.415379   799.000000 
4.382859   197.000000 
4.072747   211.000000 
4.478286   211.000000 


spinhalt primitives:
SYNC_PERIOD= 500
3.382168   5541817.000000 
3.338419   11802365.000000 
3.594055   13424895.000000 
3.396508   14131580.000000 
3.566055   6162388.000000 
3.703159   6774916.000000 
3.541808   13252597.000000 
3.105467   13934068.000000 
2.929205   19904970.000000 
3.431512   5151679.000000 
4.046220   7045893.000000 
3.758505   11567606.000000 
3.703341   3781170.000000 
3.414335   7486578.000000 
3.241772   1768551.000000 
3.916370   17228758.000000 
3.640924   12521650.000000 
3.795503   9034754.000000 
3.344427   12203318.000000 
3.589580   16572326.000000 
3.392796   3751980.000000 
3.457179   15816571.000000 
3.779141   12294640.000000 
3.759455   7968612.000000 
3.459308   12240313.000000 
3.242055   9293754.000000 
3.673147   15635173.000000 
3.839960   16583708.000000 
3.487942   8221354.000000 
3.299511   14583045.000000 
3.425938   12703174.000000 
3.308732   12513880.000000 
3.648664   4673152.000000 
3.618337   5570916.000000 
3.463033   10136260.000000 
3.932260   3306038.000000 
3.071241   10515359.000000 
3.603334   13375153.000000 
3.076253   6926039.000000 
3.715371   9273258.000000 


